"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:18    ","00:07:17    ","1","0","0","00:07:18    ","00:06:59    ","00:05:32    ","83","87","84","130","141","21","50"
"2","00:06:58    ","00:06:58    ","1","4","4","00:06:59    ","00:06:45    ","00:04:22    ","82","86","88","143","145","20","64"
"3","00:07:39    ","00:07:39    ","1","4","3","00:07:40    ","00:07:23    ","00:04:40    ","82","84","81","145","147","19","75"
"4","00:06:47    ","00:06:47    ","1","0","0","00:06:48    ","00:06:51    ","00:06:10    ","82","86","90","146","152","18","67"
"5","00:06:39    ","00:06:39    ","1","3","4","00:06:39    ","00:06:34    ","00:03:51    ","83","85","92","148","153","18","59"
"6","00:12:57    ","00:06:46    ","1","2","0","00:06:46    ","00:06:55    ","00:06:25    ","82","85","91","127","148","19","47"
"7","00:06:05    ","00:06:05    ","1","3","4","00:06:06    ","00:06:12    ","00:05:36    ","83","86","101","141","151","18","62"
"8","00:05:55    ","00:05:55    ","1","0","0","00:05:55    ","00:05:53    ","00:04:12    ","83","86","103","142","152","16","45"
"9","00:01:27    ","00:01:23    ","0.24","0","0","00:05:48    ","00:06:01    ","00:05:42    ","83","85","109","146","148","16","19"
"Summary","01:01:46    ","00:55:34    ","8.24","16","15","00:06:45    ","00:06:41    ","00:03:51    ","82","87","91","140","153","19","487"
