"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:05:53    ","00:05:53    ","1","0","0","00:05:53    ","00:05:50    ","00:05:12    ","81","85","108","121","137","18","40"
"2","00:06:04    ","00:06:04    ","1","4","3","00:06:04    ","00:06:06    ","00:05:44    ","80","83","104","137","139","16","51"
"3","00:07:14    ","00:06:24    ","1","3","2","00:06:24    ","00:06:15    ","00:05:44    ","80","84","102","134","144","14","46"
"4","00:06:13    ","00:06:13    ","1","5","0","00:06:13    ","00:06:19    ","00:05:50    ","81","84","101","134","137","13","50"
"5","00:06:23    ","00:05:46    ","1","0","3","00:05:46    ","00:05:46    ","00:04:52    ","82","86","108","127","140","14","36"
"6","00:05:24    ","00:05:24    ","1","6","2","00:05:24    ","00:05:19    ","00:04:30    ","82","86","115","141","143","14","53"
"7","00:04:49    ","00:04:49    ","1","0","3","00:04:49    ","00:04:53    ","00:04:30    ","83","85","128","139","142","13","44"
"8","00:07:47    ","00:05:14    ","1","3","4","00:05:14    ","00:05:14    ","00:04:50    ","83","85","117","137","145","14","31"
"9","00:05:22    ","00:05:22    ","1","6","3","00:05:22    ","00:05:24    ","00:05:02    ","82","85","115","144","148","16","56"
"10","00:05:08    ","00:05:08    ","1","2","2","00:05:08    ","00:05:07    ","00:04:59    ","83","85","119","146","151","15","47"
"11","00:01:51    ","00:01:45    ","0.40","0","0","00:04:24    ","00:04:33    ","00:04:15    ","86","88","137","149","151","15","20"
"Summary","01:02:02    ","00:58:02    ","10.40","29","22","00:05:35    ","00:05:35    ","00:04:15    ","82","88","110","136","151","15","474"
