"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:45    ","00:06:45    ","1","0","0","00:06:45    ","00:06:26    ","00:03:45    ","93","98","81","153","168","22","53"
"2","00:07:29    ","00:07:29    ","1","4","0","00:07:30    ","00:07:40    ","00:06:56    ","92","94","74","163","168","20","60"
"3","00:07:22    ","00:07:22    ","1","2","0","00:07:23    ","00:07:25    ","00:06:44    ","92","93","75","164","171","18","61"
"4","00:07:27    ","00:07:27    ","1","0","3","00:07:28    ","00:07:23    ","00:06:42    ","92","95","73","162","172","19","68"
"5","00:07:58    ","00:07:58    ","1","3","0","00:07:58    ","00:07:53    ","00:07:22    ","91","93","69","159","165","17","66"
"6","00:07:48    ","00:07:48    ","1","0","2","00:07:49    ","00:07:48    ","00:07:06    ","91","93","70","157","162","20","65"
"7","00:08:10    ","00:08:06    ","1","0","0","00:08:06    ","00:07:52    ","00:05:25    ","92","95","67","159","165","19","65"
"8","00:07:49    ","00:07:49    ","1","2","3","00:07:49    ","00:08:00    ","00:06:57    ","91","94","70","157","165","19","64"
"9","00:07:34    ","00:07:34    ","1","0","0","00:07:34    ","00:07:41    ","00:06:11    ","91","95","72","159","164","17","58"
"10","00:06:49    ","00:06:49    ","1","2","2","00:06:49    ","00:06:44    ","00:06:10    ","93","97","80","167","172","16","61"
"11","00:07:46    ","00:07:46    ","1","3","2","00:07:46    ","00:07:43    ","00:06:48    ","92","94","71","161","169","14","68"
"12","00:00:57    ","00:00:52    ","0.11","0","0","00:07:58    ","00:07:39    ","00:07:23    ","91","93","70","157","158","14","8"
"Summary","01:23:54    ","01:23:50    ","11.11","16","12","00:07:33    ","00:07:30    ","00:03:45    ","92","98","73","160","172","18","696"
