"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:18    ","00:07:18    ","1","0","0","00:07:18    ","00:07:08    ","00:06:03    ","93","96","74","131","167","24","42"
"2","00:07:20    ","00:07:20    ","1","0","0","00:07:21    ","00:07:16    ","00:06:50    ","93","95","74","164","171","21","60"
"3","00:07:33    ","00:07:33    ","1","0","0","00:07:33    ","00:07:27    ","00:07:09    ","93","94","72","162","168","18","68"
"4","00:07:34    ","00:07:34    ","1","0","0","00:07:34    ","00:07:34    ","00:07:19    ","93","95","72","159","165","16","58"
"5","00:07:22    ","00:07:22    ","1","0","0","00:07:23    ","00:07:24    ","00:06:49    ","93","95","74","161","167","15","67"
"6","00:07:29    ","00:07:29    ","1","0","0","00:07:29    ","00:07:25    ","00:07:00    ","93","95","73","159","163","14","58"
"7","00:07:38    ","00:07:38    ","1","0","0","00:07:39    ","00:07:35    ","00:07:22    ","93","95","72","159","165","13","66"
"8","00:07:04    ","00:07:04    ","1","0","0","00:07:04    ","00:07:06    ","00:06:24    ","94","96","78","163","175","13","59"
"9","00:06:38    ","00:06:38    ","1","0","0","00:06:39    ","00:06:47    ","00:05:50    ","94","97","80","170","178","12","64"
"10","00:05:43    ","00:05:43    ","1","0","0","00:05:43    ","00:05:50    ","00:05:21    ","96","99","92","178","181","12","49"
"11","00:00:16    ","00:00:08    ","0.02","0","0","00:06:06    ","00:05:33    ","00:05:28    ","95","95","106","175","175","12","0"
"Summary","01:11:52    ","01:11:52    ","10.02","0","0","00:07:10    ","00:07:09    ","00:05:21    ","93","99","75","160","181","16","591"
